dataset,recording,item,reason
ds004703,sub-SD010_ses-01_task-PassiveListen,C250,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C251,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C252,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C253,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C254,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C255,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C256,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C3,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,Cz,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C4,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C142,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C143,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C144,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C145,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C146,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C147,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C148,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C149,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C150,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C151,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C152,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C153,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C154,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C155,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C156,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C157,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C158,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C159,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C160,README unused C-prefix channel; exclude at S06
