dataset,recording,subject,session,trial,story,n_events,source_events,audio_candidates,audio_path,labels_match,offset_s,max_residual_s,status,physical_audio_sync
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,21,pleasePressSpace,31,31,2,UNKNOWN,True,916.260437356,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,22,catalan-f01,428,428,3,UNKNOWN,True,963.267082364,5.115907697472721e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,23,s1303a-ex02,211,211,2,UNKNOWN,True,976.935625,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,24,s3301a-ex02,406,406,2,UNKNOWN,True,1024.94599248,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,25,s1501a-ex01,404,404,2,UNKNOWN,True,1071.7951639,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,26,s1401a-ex02,434,434,2,UNKNOWN,True,1123.63462343,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,27,s3903b-ex02,325,325,2,UNKNOWN,True,1169.92103889,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,28,s3201a-ex01,1105,1105,2,UNKNOWN,True,1212.79536676,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,29,pleasePressSpace,31,31,2,UNKNOWN,True,1303.4609030600013,5.6843418860808015e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,30,catalan-m02,451,451,3,UNKNOWN,True,1355.4689989899998,5.4569682106375694e-12,HOLD,UNKNOWN: metadata alignment only
