recording,channel,type,original_unit,mne_data_unit,samples,nonfinite,min_value,max_value,eligible,reasons,scan
sub-SD010_ses-01_task-PassiveListen,RHT5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002253016708628977,0.00029016728465705344,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHT6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00042441783779659725,0.00043717828641184095,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHT7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.000356893797207599,0.0005841892881666284,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHT8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00033217042801556425,0.00040899896238651097,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHT9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00021998481727321278,0.0001960589761196307,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHT10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00025401268024719616,0.00024045470359349962,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00039544098573281454,0.000712857145037003,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003723126726176852,0.0009024029755092698,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00030771290150301365,0.0006381553521019302,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00036912256046387425,0.0003170173952849622,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00026305133134966053,0.000382946379797055,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00029973762111848635,0.00041803761348897534,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004172400854505226,0.0005291598535133897,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00030877627222095067,0.0004140499732967116,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00019845156023498895,0.00020536346990157928,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHB10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002300868390936141,0.00019685650415808345,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0006479915312428473,0.0008324863508049133,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0006035958037689783,0.00046323086900129694,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0005395277180132754,0.0004395708705271992,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002481641412985428,0.0004515337911039902,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00025268346684977495,0.00047173783474479283,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00031808076600289923,0.00046429423971923396,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004975245746547646,0.0006176854657816434,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0005233113145647364,0.0005671753566796368,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00022556751354238196,0.00018595695429922938,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHH10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.000450204577706569,0.00030611784542610815,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0009829533073929962,0.0008683751125352864,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004613699702449073,0.0005658461432822156,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00033642391088731217,0.0005743531090257114,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003101054856183718,0.0006200780498970016,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00033615806820782787,0.0007229591668574043,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00035822301060502024,0.0007152497291523613,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003781612115663386,0.0006490549019607842,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003848072785534447,0.0005464396276798657,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00034067739375906003,0.0002797994201571679,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RA10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0006043933318074312,0.0005368692912184329,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,Fp1,EEG,uV,SI volts for voltage channels,2718016,0,-0.0004704086213473716,0.0008311571374074922,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,F7,EEG,uV,SI volts for voltage channels,2718016,0,-0.0004276079499504082,0.0007394414129854276,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,T3,EEG,uV,SI volts for voltage channels,2718016,0,-0.000638952880140383,0.0008269036545357441,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,T1,EEG,uV,SI volts for voltage channels,2718016,0,-0.0047395762111848636,0.0014003263141832607,False,OFFICIAL_BAD:noise,ALL_SAMPLES
