dataset,subject,session,recording,trial,story,block,audio_path,n_events,labels_match,offset_s,offset_spread_s,audio_duration_s,template_margin_s,eligible,reason,physical_sync,split
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,6,s3001b-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3001b-ex01_normed.wav,485,True,247.23772874600002,8.526512829121202e-14,49.18281179138322,0.34246479138322883,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,7,s2301a-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2301a-ex01_normed.wav,206,True,309.742121364,5.684341886080802e-14,22.537301587301588,0.24223958730159012,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,8,s4002b-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s4002b-ex01_normed.wav,390,True,342.978633983,5.684341886080802e-14,34.63149659863946,0.5188495986394628,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,9,s1401a-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1401a-ex01_normed.wav,415,True,386.450408859,5.684341886080802e-14,35.284126984126985,0.41837598412700316,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,10,pleasePressSpace,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,31,True,431.39791229900004,1.0231815394945443e-12,3.44312925170068,0.520682459428583,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,11,catalan-m01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/catalan-m01_normed.wav,468,True,478.40469373800005,1.1368683772161603e-12,3.44312925170068,-43.204500066898774,False,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,12,s1303a-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1303a-ex01_normed.wav,311,True,491.041828625,1.7053025658242404e-13,34.2159410430839,0.5734330430839307,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,13,s3903b-ex01,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3903b-ex01_normed.wav,301,True,566.182515829,1.1368683772161603e-13,26.25294784580499,0.42762184580498186,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,14,s0703b-ex01,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s0703b-ex01_normed.wav,419,True,601.02830356,1.1368683772161603e-13,39.03469387755102,0.42340887755101875,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,15,s2102a-ex02,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2102a-ex02_normed.wav,373,True,649.250489389,2.2737367544323206e-13,36.367437641723356,0.42374164172333195,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
