recording,item,kind,reason
sub-SD010_ses-01_task-PassiveListen,C191,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C192,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C193,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C194,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C195,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C196,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C197,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C198,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C199,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C200,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C201,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C202,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C203,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C204,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C205,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C206,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C207,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C208,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C209,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C210,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C211,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C212,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C213,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C214,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C215,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C216,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C217,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C218,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C219,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C220,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C221,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C222,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD010_ses-01_task-PassiveListen,C223,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
