variant,seed,epoch,train_loss,validation_loss,status
kernel_7,11,4,3.822727009654045,3.839347183704376,PASS
kernel_7,11,5,3.8211645036935806,3.836098611354828,PASS
kernel_7,11,6,3.8204627633094788,3.8358057737350464,PASS
kernel_7,11,7,3.8193645030260086,3.8392666578292847,PASS
kernel_7,11,8,3.8186620622873306,3.8335463404655457,PASS
kernel_7,22,1,4.038548335433006,3.8721694350242615,PASS
kernel_7,22,2,3.8439134806394577,3.8350093364715576,PASS
kernel_7,22,3,3.8188622891902924,3.847882568836212,PASS
kernel_7,22,4,3.82449471950531,3.8281418085098267,PASS
kernel_7,22,5,3.8105374425649643,3.826264202594757,PASS
kernel_7,22,6,3.8020810037851334,3.8042572736740112,PASS
kernel_7,22,7,3.7711007595062256,3.732450842857361,PASS
kernel_7,22,8,3.6702568382024765,3.547749161720276,PASS
kernel_7,33,1,3.9559966027736664,3.868269622325897,PASS
kernel_7,33,2,3.8448613733053207,3.831799030303955,PASS
kernel_7,33,3,3.8249910324811935,3.8532387018203735,PASS
kernel_7,33,4,3.8289208114147186,3.8319634199142456,PASS
kernel_7,33,5,3.818896144628525,3.8297770023345947,PASS
kernel_7,33,6,3.8145564645528793,3.8265486359596252,PASS
kernel_7,33,7,3.808133766055107,3.8213993310928345,PASS
kernel_7,33,8,3.802266448736191,3.8262563943862915,PASS
kernel_15,11,1,4.050128653645515,3.8935378193855286,PASS
kernel_15,11,2,3.84197174012661,3.839737057685852,PASS
kernel_15,11,3,3.8247968554496765,3.8327534794807434,PASS
kernel_15,11,4,3.820627361536026,3.837859570980072,PASS
kernel_15,11,5,3.8191005140542984,3.8328099250793457,PASS
kernel_15,11,6,3.816322147846222,3.832077920436859,PASS
kernel_15,11,7,3.8150104731321335,3.831277847290039,PASS
kernel_15,11,8,3.80842524766922,3.843478202819824,PASS
kernel_15,22,1,3.909254416823387,3.8439469933509827,PASS
kernel_15,22,2,3.825174108147621,3.8446125388145447,PASS
kernel_15,22,3,3.8190223276615143,3.8494011759757996,PASS
kernel_15,22,4,3.8267941027879715,3.8337826132774353,PASS
kernel_15,22,5,3.8106408566236496,3.8286787271499634,PASS
kernel_15,22,6,3.8018342703580856,3.8242141008377075,PASS
kernel_15,22,7,3.803797096014023,3.812351644039154,PASS
kernel_15,22,8,3.778341129422188,3.771448016166687,PASS
kernel_15,33,1,3.964777395129204,3.89304381608963,PASS
kernel_15,33,2,3.8619215935468674,3.8474180102348328,PASS
kernel_15,33,3,3.8337720185518265,3.838458478450775,PASS
kernel_15,33,4,3.824597179889679,3.832781672477722,PASS
kernel_15,33,5,3.819124609231949,3.8312299847602844,PASS
kernel_15,33,6,3.8182631582021713,3.8300355672836304,PASS
kernel_15,33,7,3.8138869255781174,3.829068899154663,PASS
kernel_15,33,8,3.813844457268715,3.823206901550293,PASS
kernel_31,11,1,4.106972098350525,3.909797966480255,PASS
kernel_31,11,2,3.8912385553121567,3.8580686450004578,PASS
kernel_31,11,3,3.8394850492477417,3.832389175891876,PASS
kernel_31,11,4,3.8193273544311523,3.8354897499084473,PASS
kernel_31,11,5,3.8174654990434647,3.83829265832901,PASS
kernel_31,11,6,3.8179056644439697,3.828171133995056,PASS
kernel_31,11,7,3.8123513907194138,3.8251421451568604,PASS
kernel_31,11,8,3.8037842363119125,3.8200618028640747,PASS
kernel_31,22,1,3.9869175255298615,3.905030608177185,PASS
kernel_31,22,2,3.873138442635536,3.850682258605957,PASS
kernel_31,22,3,3.8390760719776154,3.84177964925766,PASS
kernel_31,22,4,3.8255314081907272,3.8288209438323975,PASS
kernel_31,22,5,3.810555189847946,3.82363224029541,PASS
kernel_31,22,6,3.7880703508853912,3.7819188237190247,PASS
kernel_31,22,7,3.7115758061408997,3.807939112186432,PASS
kernel_31,22,8,3.5532191544771194,3.6118258833885193,PASS
kernel_31,33,1,4.11395899951458,3.8760039806365967,PASS
kernel_31,33,2,3.848695829510689,3.845585286617279,PASS
kernel_31,33,3,3.8256506621837616,3.835969924926758,PASS
kernel_31,33,4,3.8212641924619675,3.8344451189041138,PASS
kernel_31,33,5,3.8195615708827972,3.8369097113609314,PASS
