variant,seed,magnitude_ms,probe,metric,value
uniform_local,11,50.0,generalization,generalization_relative_jitter_error,0.9676365852355957
uniform_local,22,10.0,localization,localization_onset_mae_ms,88.21591186523438
uniform_local,22,10.0,localization,localization_shift_recovery_mae_ms,10.005508422851562
uniform_local,22,10.0,discrimination,discrimination_balanced_accuracy,0.5101208366558302
uniform_local,22,10.0,generalization,generalization_jitter_mae_ms,8.22928237915039
uniform_local,22,10.0,generalization,generalization_relative_jitter_error,0.822928249835968
uniform_local,22,20.0,localization,localization_onset_mae_ms,90.43765258789062
uniform_local,22,20.0,localization,localization_shift_recovery_mae_ms,20.003677368164062
uniform_local,22,20.0,discrimination,discrimination_balanced_accuracy,0.48356330856676977
uniform_local,22,20.0,generalization,generalization_jitter_mae_ms,18.220712661743164
uniform_local,22,20.0,generalization,generalization_relative_jitter_error,0.9110356569290161
uniform_local,22,50.0,localization,localization_onset_mae_ms,101.12013244628906
uniform_local,22,50.0,localization,localization_shift_recovery_mae_ms,50.09840393066406
uniform_local,22,50.0,discrimination,discrimination_balanced_accuracy,0.5022051978573718
uniform_local,22,50.0,generalization,generalization_jitter_mae_ms,48.22847366333008
uniform_local,22,50.0,generalization,generalization_relative_jitter_error,0.9645694494247437
uniform_local,33,10.0,localization,localization_onset_mae_ms,85.2985610961914
uniform_local,33,10.0,localization,localization_shift_recovery_mae_ms,10.00158977508545
uniform_local,33,10.0,discrimination,discrimination_balanced_accuracy,0.4816904864135435
uniform_local,33,10.0,generalization,generalization_jitter_mae_ms,7.828492164611816
uniform_local,33,10.0,generalization,generalization_relative_jitter_error,0.7828491926193237
uniform_local,33,20.0,localization,localization_onset_mae_ms,85.99732971191406
uniform_local,33,20.0,localization,localization_shift_recovery_mae_ms,20.000106811523438
uniform_local,33,20.0,discrimination,discrimination_balanced_accuracy,0.49654652575876446
uniform_local,33,20.0,generalization,generalization_jitter_mae_ms,17.843046188354492
uniform_local,33,20.0,generalization,generalization_relative_jitter_error,0.8921523094177246
uniform_local,33,50.0,localization,localization_onset_mae_ms,91.92935180664062
uniform_local,33,50.0,localization,localization_shift_recovery_mae_ms,50.006195068359375
uniform_local,33,50.0,discrimination,discrimination_balanced_accuracy,0.4912478825522304
uniform_local,33,50.0,generalization,generalization_jitter_mae_ms,47.82798767089844
uniform_local,33,50.0,generalization,generalization_relative_jitter_error,0.9565597772598267
exponential_growth,11,10.0,localization,localization_onset_mae_ms,85.32266998291016
exponential_growth,11,10.0,localization,localization_shift_recovery_mae_ms,10.067939758300781
exponential_growth,11,10.0,discrimination,discrimination_balanced_accuracy,0.5314205974360547
exponential_growth,11,10.0,generalization,generalization_jitter_mae_ms,8.282292366027832
exponential_growth,11,10.0,generalization,generalization_relative_jitter_error,0.8282292485237122
exponential_growth,11,20.0,localization,localization_onset_mae_ms,86.61688995361328
exponential_growth,11,20.0,localization,localization_shift_recovery_mae_ms,20.04578971862793
exponential_growth,11,20.0,discrimination,discrimination_balanced_accuracy,0.48584767794237543
exponential_growth,11,20.0,generalization,generalization_jitter_mae_ms,18.289709091186523
exponential_growth,11,20.0,generalization,generalization_relative_jitter_error,0.9144854545593262
exponential_growth,11,50.0,localization,localization_onset_mae_ms,94.42778015136719
exponential_growth,11,50.0,localization,localization_shift_recovery_mae_ms,49.911338806152344
exponential_growth,11,50.0,discrimination,discrimination_balanced_accuracy,0.5310635310635311
exponential_growth,11,50.0,generalization,generalization_jitter_mae_ms,48.28068542480469
exponential_growth,11,50.0,generalization,generalization_relative_jitter_error,0.9656137228012085
exponential_growth,22,10.0,localization,localization_onset_mae_ms,87.52226257324219
exponential_growth,22,10.0,localization,localization_shift_recovery_mae_ms,9.99300765991211
exponential_growth,22,10.0,discrimination,discrimination_balanced_accuracy,0.4878396614120101
exponential_growth,22,10.0,generalization,generalization_jitter_mae_ms,8.241951942443848
exponential_growth,22,10.0,generalization,generalization_relative_jitter_error,0.8241952061653137
exponential_growth,22,20.0,localization,localization_onset_mae_ms,89.81328582763672
exponential_growth,22,20.0,localization,localization_shift_recovery_mae_ms,19.9991455078125
exponential_growth,22,20.0,discrimination,discrimination_balanced_accuracy,0.4900241512452505
exponential_growth,22,20.0,generalization,generalization_jitter_mae_ms,18.241409301757812
exponential_growth,22,20.0,generalization,generalization_relative_jitter_error,0.9120704531669617
exponential_growth,22,50.0,localization,localization_onset_mae_ms,100.82137298583984
exponential_growth,22,50.0,localization,localization_shift_recovery_mae_ms,50.088905334472656
exponential_growth,22,50.0,discrimination,discrimination_balanced_accuracy,0.5023425458208066
exponential_growth,22,50.0,generalization,generalization_jitter_mae_ms,48.24912643432617
exponential_growth,22,50.0,generalization,generalization_relative_jitter_error,0.9649825096130371
exponential_growth,33,10.0,localization,localization_onset_mae_ms,91.08146667480469
exponential_growth,33,10.0,localization,localization_shift_recovery_mae_ms,10.001140594482422
exponential_growth,33,10.0,discrimination,discrimination_balanced_accuracy,0.49314543335582406
exponential_growth,33,10.0,generalization,generalization_jitter_mae_ms,7.981136798858643
exponential_growth,33,10.0,generalization,generalization_relative_jitter_error,0.7981137037277222
exponential_growth,33,20.0,localization,localization_onset_mae_ms,93.22760772705078
exponential_growth,33,20.0,localization,localization_shift_recovery_mae_ms,19.986934661865234
exponential_growth,33,20.0,discrimination,discrimination_balanced_accuracy,0.49393911424923465
exponential_growth,33,20.0,generalization,generalization_jitter_mae_ms,17.987485885620117
exponential_growth,33,20.0,generalization,generalization_relative_jitter_error,0.8993743062019348
exponential_growth,33,50.0,localization,localization_onset_mae_ms,102.501220703125
exponential_growth,33,50.0,localization,localization_shift_recovery_mae_ms,50.17963409423828
exponential_growth,33,50.0,discrimination,discrimination_balanced_accuracy,0.5003204785813482
exponential_growth,33,50.0,generalization,generalization_jitter_mae_ms,47.98554992675781
exponential_growth,33,50.0,generalization,generalization_relative_jitter_error,0.9597110152244568
delayed_growth,11,10.0,localization,localization_onset_mae_ms,85.53474426269531
delayed_growth,11,10.0,localization,localization_shift_recovery_mae_ms,10.050111770629883
delayed_growth,11,10.0,discrimination,discrimination_balanced_accuracy,0.5
delayed_growth,11,10.0,generalization,generalization_jitter_mae_ms,8.407854080200195
delayed_growth,11,10.0,generalization,generalization_relative_jitter_error,0.8407853841781616
delayed_growth,11,20.0,localization,localization_onset_mae_ms,86.41317749023438
delayed_growth,11,20.0,localization,localization_shift_recovery_mae_ms,20.090423583984375
delayed_growth,11,20.0,discrimination,discrimination_balanced_accuracy,0.5
