variant,magnitude_ms,probe,metric,mean,std,n_seeds
kernel_3,50.0,generalization,generalization_relative_jitter_error,0.962921937306722,0.005719234290295013,3
kernel_3,50.0,localization,localization_onset_mae_ms,95.10357666015625,5.2131320757696615,3
kernel_3,50.0,localization,localization_shift_recovery_mae_ms,50.02694193522135,0.06367602980793577,3
kernel_31,10.0,discrimination,discrimination_balanced_accuracy,0.4983898668956634,0.0028287663263773214,3
kernel_31,10.0,generalization,generalization_jitter_mae_ms,7.9993789990743,0.11296113662275732,3
kernel_31,10.0,generalization,generalization_relative_jitter_error,0.799937923749288,0.01129611366227573,3
kernel_31,10.0,localization,localization_onset_mae_ms,85.31939442952473,0.7955469488314578,3
kernel_31,10.0,localization,localization_shift_recovery_mae_ms,9.928369839986166,0.06568236031587389,3
kernel_31,20.0,discrimination,discrimination_balanced_accuracy,0.5073504904600017,0.012791418913145615,3
kernel_31,20.0,generalization,generalization_jitter_mae_ms,17.95787747701009,0.18482096948606733,3
kernel_31,20.0,generalization,generalization_relative_jitter_error,0.8978938857714335,0.009241048474303366,3
kernel_31,20.0,localization,localization_onset_mae_ms,85.64127349853516,0.6835351117137459,3
kernel_31,20.0,localization,localization_shift_recovery_mae_ms,20.053470611572266,0.08141195054694028,3
kernel_31,50.0,discrimination,discrimination_balanced_accuracy,0.49690712734190995,0.0026820254328455734,3
kernel_31,50.0,generalization,generalization_jitter_mae_ms,47.933615366617836,0.21776808589046134,3
kernel_31,50.0,generalization,generalization_relative_jitter_error,0.958672304948171,0.0043553341083476796,3
kernel_31,50.0,localization,localization_onset_mae_ms,90.59981282552083,5.303141791812147,3
kernel_31,50.0,localization,localization_shift_recovery_mae_ms,50.610107421875,0.659915531715762,3
kernel_7,10.0,discrimination,discrimination_balanced_accuracy,0.49657016091107975,0.023230915046685906,3
kernel_7,10.0,generalization,generalization_jitter_mae_ms,8.011579354604086,0.3009579792198415,3
kernel_7,10.0,generalization,generalization_relative_jitter_error,0.8011579314867655,0.03009581382732949,3
kernel_7,10.0,localization,localization_onset_mae_ms,86.03253428141277,1.0135641464078022,3
kernel_7,10.0,localization,localization_shift_recovery_mae_ms,9.999643007914225,0.022157591373068445,3
kernel_7,20.0,discrimination,discrimination_balanced_accuracy,0.49615682413688783,0.007906924350137836,3
kernel_7,20.0,generalization,generalization_jitter_mae_ms,18.002344131469727,0.29967756423094194,3
kernel_7,20.0,generalization,generalization_relative_jitter_error,0.9001171986262003,0.014983877563377055,3
kernel_7,20.0,localization,localization_onset_mae_ms,87.2899678548177,1.413862248325051,3
kernel_7,20.0,localization,localization_shift_recovery_mae_ms,19.99073600769043,0.02191040547393858,3
kernel_7,50.0,discrimination,discrimination_balanced_accuracy,0.48357674444630966,0.015024405699295022,3
kernel_7,50.0,generalization,generalization_jitter_mae_ms,48.01753362019857,0.30264038374445623,3
kernel_7,50.0,generalization,generalization_relative_jitter_error,0.9603506724039713,0.006052790259584655,3
kernel_7,50.0,localization,localization_onset_mae_ms,94.9800516764323,2.5397961851898705,3
kernel_7,50.0,localization,localization_shift_recovery_mae_ms,49.99799346923828,0.26517135216531207,3
late_downsample,10.0,discrimination,discrimination_balanced_accuracy,0.47836287799791455,0.017875067574675906,3
late_downsample,10.0,generalization,generalization_jitter_mae_ms,7.990505536397298,0.2194297893730895,3
late_downsample,10.0,generalization,generalization_relative_jitter_error,0.7990505695343018,0.021942977872995213,3
late_downsample,10.0,localization,localization_onset_mae_ms,88.76124318440755,5.611657824414495,3
late_downsample,10.0,localization,localization_shift_recovery_mae_ms,10.64386781056722,2.4911385283931216,3
late_downsample,20.0,discrimination,discrimination_balanced_accuracy,0.5079735002897124,0.00464336293993931,3
late_downsample,20.0,generalization,generalization_jitter_mae_ms,18.006720860799152,0.2033858990749308,3
late_downsample,20.0,generalization,generalization_relative_jitter_error,0.9003360470136007,0.010169281332876624,3
late_downsample,20.0,localization,localization_onset_mae_ms,90.35656483968098,6.758864016679195,3
late_downsample,20.0,localization,localization_shift_recovery_mae_ms,20.00326919555664,0.011969346255735626,3
late_downsample,50.0,discrimination,discrimination_balanced_accuracy,0.48396589700937537,0.0055450658292976775,3
late_downsample,50.0,generalization,generalization_jitter_mae_ms,47.98758188883463,0.22151074019757738,3
late_downsample,50.0,generalization,generalization_relative_jitter_error,0.9597516457239786,0.004430222275562474,3
late_downsample,50.0,localization,localization_onset_mae_ms,99.6641133626302,13.05253033823628,3
late_downsample,50.0,localization,localization_shift_recovery_mae_ms,49.643280029296875,2.253597298661767,3
ordinary_second_branch,10.0,discrimination,discrimination_balanced_accuracy,0.48795211515263043,0.01309943274575607,3
ordinary_second_branch,10.0,generalization,generalization_jitter_mae_ms,8.005667209625244,0.04223606835787832,3
ordinary_second_branch,10.0,generalization,generalization_relative_jitter_error,0.8005667130152384,0.004223600955332646,3
ordinary_second_branch,10.0,localization,localization_onset_mae_ms,85.0708999633789,0.05736152705746758,3
ordinary_second_branch,10.0,localization,localization_shift_recovery_mae_ms,9.999759674072266,0.003936639703292812,3
ordinary_second_branch,20.0,discrimination,discrimination_balanced_accuracy,0.5053045569451494,0.0079872239118126,3
ordinary_second_branch,20.0,generalization,generalization_jitter_mae_ms,18.003307342529297,0.03685891475415161,3
ordinary_second_branch,20.0,generalization,generalization_relative_jitter_error,0.9001653591791788,0.001842932707486809,3
ordinary_second_branch,20.0,localization,localization_onset_mae_ms,85.59320322672527,0.0704806755131474,3
ordinary_second_branch,20.0,localization,localization_shift_recovery_mae_ms,19.99695587158203,0.00782158698477462,3
ordinary_second_branch,50.0,discrimination,discrimination_balanced_accuracy,0.49390073303116777,0.007388259679991198,3
ordinary_second_branch,50.0,generalization,generalization_jitter_mae_ms,48.006465911865234,0.04338305735816299,3
ordinary_second_branch,50.0,generalization,generalization_relative_jitter_error,0.9601293007532755,0.0008676631768485394,3
ordinary_second_branch,50.0,localization,localization_onset_mae_ms,90.37981414794922,0.20271888368350804,3
ordinary_second_branch,50.0,localization,localization_shift_recovery_mae_ms,50.01807403564453,0.03565565272150898,3
parallel_multiscale,10.0,discrimination,discrimination_balanced_accuracy,0.5,0.0,3
parallel_multiscale,10.0,generalization,generalization_jitter_mae_ms,8.027125676472982,0.12712664424090014,3
parallel_multiscale,10.0,generalization,generalization_relative_jitter_error,0.8027125597000122,0.012712665695078198,3
parallel_multiscale,10.0,localization,localization_onset_mae_ms,85.3168207804362,0.4985489702280172,3
parallel_multiscale,10.0,localization,localization_shift_recovery_mae_ms,9.99933942159017,0.0007277636946625302,3
parallel_multiscale,20.0,discrimination,discrimination_balanced_accuracy,0.5,0.0,3
parallel_multiscale,20.0,generalization,generalization_jitter_mae_ms,18.02712122599284,0.12712585552268701,3
parallel_multiscale,20.0,generalization,generalization_relative_jitter_error,0.901356061299642,0.006356274017424006,3
parallel_multiscale,20.0,localization,localization_onset_mae_ms,86.03909810384114,0.8492086552906911,3
