variant,split,metric,mean,std,n_seeds
kernel_15,test_seen,phase_magnitude_mae_rad,0.5480100711186727,0.03406217036817341,3
kernel_15,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
kernel_15,test_seen,rate_discrimination_balanced_accuracy,0.3699695484254308,0.08695342331293729,3
kernel_15,test_seen,rate_mae_hz,1.9277685085932414,0.0785126460884423,3
kernel_15,test_seen,regular_vs_jitter_balanced_accuracy,0.49666590371557184,0.004083670344895784,3
kernel_15,test_unseen,jitter_magnitude_mae_ms,2.5313313802083335,0.014330376019473177,3
kernel_15,test_unseen,omission_detection_balanced_accuracy,0.5135523080916823,0.03770786602144382,3
kernel_15,test_unseen,onset_timing_error_ms,82.10662333170573,4.9974118741448965,3
kernel_15,test_unseen,phase_magnitude_mae_rad,0.7865899006525675,0.043587134692436316,3
kernel_15,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
kernel_15,test_unseen,rate_mae_hz,2.0780300299326577,0.07998149084105924,3
kernel_15,test_unseen,regular_vs_jitter_balanced_accuracy,0.49639775359199817,0.0031217666026144026,3
kernel_15,test_unseen,unseen_jitter_mae_ms,2.5313313802083335,0.014330376019473177,3
kernel_15,test_unseen,unseen_phase_magnitude_mae_rad,0.7865899006525675,0.043587134692436316,3
kernel_15,test_unseen,unseen_rate_mae_hz,2.0780300299326577,0.07998149084105924,3
kernel_3,test_seen,jitter_magnitude_mae_ms,1.9598509073257446,0.03783404363539774,3
kernel_3,test_seen,omission_detection_balanced_accuracy,0.5381322957198444,0.013890657746497562,3
kernel_3,test_seen,onset_timing_error_ms,85.64206441243489,0.8089196934345517,3
kernel_3,test_seen,phase_magnitude_mae_rad,0.5219659209251404,0.004351790721886406,3
kernel_3,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
kernel_3,test_seen,rate_discrimination_balanced_accuracy,0.3839088999236058,0.14274482257731272,3
kernel_3,test_seen,rate_mae_hz,1.6555825074513753,0.3072108681160882,3
kernel_3,test_seen,regular_vs_jitter_balanced_accuracy,0.5163729304951552,0.023522645909430023,3
kernel_3,test_unseen,jitter_magnitude_mae_ms,2.527427355448405,0.021507820362104094,3
kernel_3,test_unseen,omission_detection_balanced_accuracy,0.5498088679178056,0.04366307175657637,3
kernel_3,test_unseen,onset_timing_error_ms,78.64536031087239,0.18310381655477467,3
kernel_3,test_unseen,phase_magnitude_mae_rad,0.763361930847168,0.007097452426381589,3
kernel_3,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
kernel_3,test_unseen,rate_mae_hz,1.8610868851343791,0.16052235317938437,3
kernel_3,test_unseen,regular_vs_jitter_balanced_accuracy,0.5068355571952695,0.02437247050161914,3
kernel_3,test_unseen,unseen_jitter_mae_ms,2.527427355448405,0.021507820362104094,3
kernel_3,test_unseen,unseen_phase_magnitude_mae_rad,0.763361930847168,0.007097452426381589,3
kernel_3,test_unseen,unseen_rate_mae_hz,1.8610868851343791,0.16052235317938437,3
