variant,seed,split,metric,value
uniform_local,11,test_seen,onset_timing_error_ms,85.13573455810547
uniform_local,11,test_seen,rate_mae_hz,2.0103161334991455
uniform_local,11,test_seen,jitter_magnitude_mae_ms,1.9466354846954346
uniform_local,11,test_seen,phase_magnitude_mae_rad,0.5176956653594971
uniform_local,11,test_unseen,unseen_rate_mae_hz,2.0302655696868896
uniform_local,11,test_unseen,unseen_jitter_mae_ms,2.550569534301758
uniform_local,11,test_unseen,unseen_phase_magnitude_mae_rad,0.7715466022491455
uniform_local,11,test_unseen,regular_vs_jitter_balanced_accuracy,0.5
uniform_local,11,test_unseen,omission_detection_balanced_accuracy,0.5027333669277871
uniform_local,11,test_unseen,phase_shift_detection_balanced_accuracy,0.5
uniform_local,11,test_unseen,onset_timing_error_ms,78.43632507324219
uniform_local,11,test_unseen,rate_mae_hz,2.0302655696868896
uniform_local,11,test_unseen,jitter_magnitude_mae_ms,2.550569534301758
uniform_local,11,test_unseen,phase_magnitude_mae_rad,0.7715466022491455
uniform_local,22,test_seen,rate_discrimination_balanced_accuracy,0.46285918003565063
uniform_local,22,test_seen,regular_vs_jitter_balanced_accuracy,0.5057907988097963
uniform_local,22,test_seen,omission_detection_balanced_accuracy,0.5476615548943313
uniform_local,22,test_seen,phase_shift_detection_balanced_accuracy,0.5
uniform_local,22,test_seen,onset_timing_error_ms,86.57498931884766
uniform_local,22,test_seen,rate_mae_hz,1.479464054107666
uniform_local,22,test_seen,jitter_magnitude_mae_ms,1.9303971529006958
uniform_local,22,test_seen,phase_magnitude_mae_rad,0.5218071937561035
uniform_local,22,test_unseen,unseen_rate_mae_hz,1.8420822620391846
uniform_local,22,test_unseen,unseen_jitter_mae_ms,2.5236611366271973
uniform_local,22,test_unseen,unseen_phase_magnitude_mae_rad,0.7589060068130493
uniform_local,22,test_unseen,regular_vs_jitter_balanced_accuracy,0.4866107114308553
uniform_local,22,test_unseen,omission_detection_balanced_accuracy,0.5889794921129384
uniform_local,22,test_unseen,phase_shift_detection_balanced_accuracy,0.5
uniform_local,22,test_unseen,onset_timing_error_ms,78.72239685058594
uniform_local,22,test_unseen,rate_mae_hz,1.8420822620391846
uniform_local,22,test_unseen,jitter_magnitude_mae_ms,2.5236611366271973
uniform_local,22,test_unseen,phase_magnitude_mae_rad,0.7589060068130493
uniform_local,33,test_seen,rate_discrimination_balanced_accuracy,0.4697382862235804
uniform_local,33,test_seen,regular_vs_jitter_balanced_accuracy,0.5433279926756694
uniform_local,33,test_seen,omission_detection_balanced_accuracy,0.5445410849164569
uniform_local,33,test_seen,phase_shift_detection_balanced_accuracy,0.5
uniform_local,33,test_seen,onset_timing_error_ms,85.21546936035156
uniform_local,33,test_seen,rate_mae_hz,1.4769673347473145
uniform_local,33,test_seen,jitter_magnitude_mae_ms,2.0025200843811035
uniform_local,33,test_seen,phase_magnitude_mae_rad,0.5263949036598206
uniform_local,33,test_unseen,unseen_rate_mae_hz,1.710912823677063
uniform_local,33,test_unseen,unseen_jitter_mae_ms,2.5080513954162598
uniform_local,33,test_unseen,unseen_phase_magnitude_mae_rad,0.7596331834793091
uniform_local,33,test_unseen,regular_vs_jitter_balanced_accuracy,0.533895960154953
uniform_local,33,test_unseen,omission_detection_balanced_accuracy,0.5577137447126911
